id	project	match	up_exit	rs_exit	up_bytes	rs_bytes	up_sha256	rs_sha256	bundle(up/rs)	stage(up/rs)	blocks	keys	up_stderr	rs_stderr
65-fixture-block-matches-the-upstream-capture	fixture	same	0	0	876	876	13db371a0e2308c4	13db371a0e2308c4	3072de5dc9edccbd/3072de5dc9edccbd	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
66-harness-present-but-rules-missing-is-exit-2-on-both-sides	norules-with-harness	stderr-only	2	2	0	0	-	-	-/-	-/-	0/0	-/-	Cannot load required stage rule "aidlc/spaces/default/memory/org.md" (ENOENT: no such file or directory, open '/private/	Cannot load required stage rule "aidlc/spaces/default/memory/org.md" (No such file or directory (os error 2)). The stage
67-bom-prefixed-rule-file	bom	same	0	0	876	876	13db371a0e2308c4	13db371a0e2308c4	3072de5dc9edccbd/3072de5dc9edccbd	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
68-control-characters-in-a-rule-file	ctrl	same	0	0	896	896	306a7f77e317c378	306a7f77e317c378	c2b643e11ab0251c/c2b643e11ab0251c	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
69-numbers-and-non-bmp-text-pass-through-the-envelope	ws	same	0	0	28176	28176	2943818e7cc612c8	2943818e7cc612c8	b503b83fe1f6fa4f/b503b83fe1f6fa4f	code-generation/code-generation	1/1	subagent_type|prompt|n1|n2|n3|n4|n5|n6|n7|n8|nested/subagent_type|prompt|n1|n2|n3|n4|n5|n6|n7|n8|nested	-	-
70-duplicate-keys-take-the-last-value	ws	same	0	0	28004	28004	933a59f1c581ef71	933a59f1c581ef71	b503b83fe1f6fa4f/b503b83fe1f6fa4f	code-generation/code-generation	1/1	prompt|subagent_type/prompt|subagent_type	-	-
71-items-with-only-non-text-entries-still-join-with-newlines	ws	same	0	0	28056	28056	3db9762ee17a61c3	3db9762ee17a61c3	b503b83fe1f6fa4f/b503b83fe1f6fa4f	code-generation/code-generation	1/1	subagent_type|items/subagent_type|items	-	-
72-tool-name-not-a-string	ws	DIFFER	1	0	0	0	-	-	-/-	-/-	0/0	-/-	218 | export function augmentDispatchRules( 219 | toolName: string, 220 | input: Record<string, unknown>, 221 | projectD	-
73-tool-input-is-a-string	ws	same	0	0	0	0	-	-	-/-	-/-	0/0	-/-	-	-
74-tool-input-is-null	ws	same	0	0	0	0	-	-	-/-	-/-	0/0	-/-	-	-
75-subagent-entry-key-order-is-kept	ws	same	0	0	27994	27994	ffc3ae1d535a88d9	ffc3ae1d535a88d9	5059e0882b2d5ece/5059e0882b2d5ece	domain-design/domain-design	1/1	stages|tail/stages|tail	-	-
76-current-stage-separated-by-a-tab	tabstage	same	0	0	28024	28024	b81afad2249ac588	b81afad2249ac588	b503b83fe1f6fa4f/b503b83fe1f6fa4f	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
77-current-stage-without-a-space-after-the-colon	nospace	same	0	0	28024	28024	b81afad2249ac588	b81afad2249ac588	b503b83fe1f6fa4f/b503b83fe1f6fa4f	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
78-state-file-without-a-current-stage-line	nostage	same	0	0	27861	27861	d232d68ff4d454eb	d232d68ff4d454eb	d82253d617cc3fe9/d82253d617cc3fe9	intent-capture/intent-capture	1/1	subagent_type|prompt/subagent_type|prompt	-	-
79-active-intent-cursor-names-an-absent-record	dangling	same	0	0	28024	28024	b81afad2249ac588	b81afad2249ac588	b503b83fe1f6fa4f/b503b83fe1f6fa4f	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
80-rules-dir-override-env	ws	DIFFER	0	0	876	28042	13db371a0e2308c4	db0841b9cedc126b	3072de5dc9edccbd/b503b83fe1f6fa4f	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
81-explicit-path-inside-items	ws	same	0	0	27924	27924	647171d65522cd07	647171d65522cd07	d82253d617cc3fe9/d82253d617cc3fe9	intent-capture/intent-capture	1/1	subagent_type|items/subagent_type|items	-	-
82-subagent-second-entry-unreadable-rule-stops-everything	fixture	stderr-only	2	2	0	0	-	-	-/-	-/-	0/0	-/-	Cannot load required stage rule "aidlc/spaces/default/memory/phases/ideation.md" (ENOENT: no such file or directory, ope	Cannot load required stage rule "aidlc/spaces/default/memory/phases/ideation.md" (No such file or directory (os error 2)
83-body-field-order-is-by-name-not-by-key-position	ws	same	0	0	28015	28015	3bc7d2733034eed8	3bc7d2733034eed8	b503b83fe1f6fa4f/b503b83fe1f6fa4f	code-generation/code-generation	1/1	message|subagent_type|prompt/message|subagent_type|prompt	-	-
84-empty-prompt-does-not-fall-through-to-message	ws	same	0	0	0	0	-	-	-/-	-/-	0/0	-/-	-	-
85-non-string-agent-field-first-stops-the-lookup	ws	same	0	0	0	0	-	-	-/-	-/-	0/0	-/-	-	-
86-preload-fallback-env-does-nothing-under-the-limit	ws	same	0	0	28002	28002	c9806b459c379a76	c9806b459c379a76	b503b83fe1f6fa4f/b503b83fe1f6fa4f	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
87-non-ascii-brief-with-a-slug-mention	stateless	same	0	0	15952	15952	7f2e905e2e08393e	7f2e905e2e08393e	e27b1768d2c4aaee/e27b1768d2c4aaee	intent-capture/intent-capture	1/1	subagent_type|prompt/subagent_type|prompt	-	-
88-non-ascii-brief-with-an-explicit-path	ws	same	0	0	27992	27992	0da719b7bac862f0	0da719b7bac862f0	5059e0882b2d5ece/5059e0882b2d5ece	domain-design/domain-design	1/1	subagent_type|prompt/subagent_type|prompt	-	-
89-explicit-path-followed-by-a-word-char-does-not-match	ws	same	0	0	28068	28068	010d2494661ddefc	010d2494661ddefc	b503b83fe1f6fa4f/b503b83fe1f6fa4f	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
90-two-leading-boms-keep-the-second-one	bom2	same	0	0	879	879	91c1351ce2142584	91c1351ce2142584	892de2e7132e1ebf/892de2e7132e1ebf	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
# same=22 stderr-only=2 differ=2 total=26
