case	verdict	differing_fields	upstream	this_build
c01-read-sibling-block	DIFF	audit_delta	{"audit_delta": "\n## Reviewer Scope Blocked\n**Timestamp**: <TS>\n**Event**: REVIEWER_SCOPE_BLOCKED\n**Tool**: Read\n**Target**: <project-dir>/aidlc/spaces/default/intents/<REC>/construction/u2-y/contract.md\n**Stage**: functional-design\n**Unit**: u1-x\n\n---\n"}	{"audit_delta": "\n## Reviewer Scope Blocked\n**Timestamp**: <TS>\n**Event**: REVIEWER_SCOPE_BLOCKED\n**Tool**: Read\n**Target**: <P>/aidlc/spaces/default/intents/<REC>/construction/u2-y/contract.md\n**Stage**: functional-design\n**Unit**: u1-x\n\n---\n"}
c02-read-current-allow	SAME		{}	{}
c03-read-exempt-allow	SAME		{}	{}
c04-ls-exempt-dir-block	DIFF	audit_delta	{"audit_delta": "\n## Reviewer Scope Blocked\n**Timestamp**: <TS>\n**Event**: REVIEWER_SCOPE_BLOCKED\n**Tool**: LS\n**Target**: <project-dir>/aidlc/spaces/default/intents/<REC>/construction/u2-y/functional-design\n**Stage**: functional-design\n**Unit**: u1-x\n\n---\n"}	{"audit_delta": "\n## Reviewer Scope Blocked\n**Timestamp**: <TS>\n**Event**: REVIEWER_SCOPE_BLOCKED\n**Tool**: LS\n**Target**: <P>/aidlc/spaces/default/intents/<REC>/construction/u2-y/functional-design\n**Stage**: functional-design\n**Unit**: u1-x\n\n---\n"}
c05-grep-pathless-block	SAME		{}	{}
c06-glob-wildcard-block	SAME		{}	{}
c07-glob-current-allow	SAME		{}	{}
c08-bash-cat-sibling-block	DIFF	audit_delta	{"audit_delta": "\n## Reviewer Scope Blocked\n**Timestamp**: <TS>\n**Event**: REVIEWER_SCOPE_BLOCKED\n**Tool**: Bash\n**Target**: <project-dir>/aidlc/spaces/default/intents/<REC>/construction/u2-y/contract.md\n**Stage**: functional-design\n**Unit**: u1-x\n\n---\n"}	{"audit_delta": "\n## Reviewer Scope Blocked\n**Timestamp**: <TS>\n**Event**: REVIEWER_SCOPE_BLOCKED\n**Tool**: Bash\n**Target**: <P>/aidlc/spaces/default/intents/<REC>/construction/u2-y/contract.md\n**Stage**: functional-design\n**Unit**: u1-x\n\n---\n"}
c09-bash-rg-dot-block	SAME		{}	{}
c10-write-sibling-block	DIFF	audit_delta	{"audit_delta": "\n## Reviewer Scope Blocked\n**Timestamp**: <TS>\n**Event**: REVIEWER_SCOPE_BLOCKED\n**Tool**: Write\n**Target**: <project-dir>/aidlc/spaces/default/intents/<REC>/construction/u2-y/out.md\n**Stage**: functional-design\n**Unit**: u1-x\n\n---\n"}	{"audit_delta": "\n## Reviewer Scope Blocked\n**Timestamp**: <TS>\n**Event**: REVIEWER_SCOPE_BLOCKED\n**Tool**: Write\n**Target**: <P>/aidlc/spaces/default/intents/<REC>/construction/u2-y/out.md\n**Stage**: functional-design\n**Unit**: u1-x\n\n---\n"}
c11-other-agent-allow	SAME		{}	{}
c12-no-agent-allow	SAME		{}	{}
c13-scoped-registration-block	DIFF	audit_delta	{"audit_delta": "\n## Reviewer Scope Blocked\n**Timestamp**: <TS>\n**Event**: REVIEWER_SCOPE_BLOCKED\n**Tool**: Read\n**Target**: <project-dir>/aidlc/spaces/default/intents/<REC>/construction/u2-y/contract.md\n**Stage**: functional-design\n**Unit**: u1-x\n\n---\n"}	{"audit_delta": "\n## Reviewer Scope Blocked\n**Timestamp**: <TS>\n**Event**: REVIEWER_SCOPE_BLOCKED\n**Tool**: Read\n**Target**: <P>/aidlc/spaces/default/intents/<REC>/construction/u2-y/contract.md\n**Stage**: functional-design\n**Unit**: u1-x\n\n---\n"}
c14-non-inspected-tool-allow	SAME		{}	{}
c15-missing-record-advisory	SAME		{}	{}
c16-missing-record-nonreviewer	SAME		{}	{}
c17-malformed-record	SAME		{}	{}
c18-orphaned-record	SAME		{}	{}
c19-off-switch	SAME		{}	{}
c20-malformed-stdin	SAME		{}	{}
c21-array-stdin	SAME		{}	{}
c22-nocwd-relative-grep-path	SAME		{}	{}
c23-cwd-relative-grep-path	SAME		{}	{}
c24-stage-nonslug-record	DIFF	exit,stderr,audit_delta,drops_delta	{"exit": 2, "stderr": "This review cannot open \"<P>/aidlc/spaces/default/intents/<REC>/construction/u2-y/contract.md\" because it belongs to another unit; the current review covers u1-x. Use the files supplied with the review and the files under this unit's construction path. If the design depends on another unit, note that integration point in the findings instead of opening its files. Write u1-x literally in shell paths because variables cannot be checked, and keep searches inside the current unit.\n", "audit_delta": "\n## Reviewer Scope Blocked\n**Timestamp**: <TS>\n**Event**: REVIEWER_SCOPE_BLOCKED\n**Tool**: Read\n**Target**: <project-dir>/aidlc/spaces/default/intents/<REC>/construction/u2-y/contract.md\n**Stage**: Functional Design\n**Unit**: u1-x\n\n---\n", "drops_delta": ""}	{"exit": 0, "stderr": "", "audit_delta": "", "drops_delta": "<TS>\treviewer dispatch record is malformed; enforcement skipped\n"}
c25-unit-with-slash-record	DIFF	exit,stderr,audit_delta,drops_delta	{"exit": 2, "stderr": "This review cannot open \"<P>/aidlc/spaces/default/intents/<REC>/construction/u2-y/contract.md\" because it belongs to another unit; the current review covers a/b. Use the files supplied with the review and the files under this unit's construction path. If the design depends on another unit, note that integration point in the findings instead of opening its files. Write a/b literally in shell paths because variables cannot be checked, and keep searches inside the current unit.\n", "audit_delta": "\n## Reviewer Scope Blocked\n**Timestamp**: <TS>\n**Event**: REVIEWER_SCOPE_BLOCKED\n**Tool**: Read\n**Target**: <project-dir>/aidlc/spaces/default/intents/<REC>/construction/u2-y/contract.md\n**Stage**: functional-design\n**Unit**: a/b\n\n---\n", "drops_delta": ""}	{"exit": 0, "stderr": "", "audit_delta": "", "drops_delta": "<TS>\treviewer dispatch record is malformed; enforcement skipped\n"}
