"printf x >> /r/a.md"	["/r/a.md"]
"printf x>/r/a.md"	["/r/a.md"]
"printf x >| /r/a.md"	["/r/a.md"]
"printf x > \"/r/a b.md\""	["/r/a b.md"]
"printf x >&/r/a.md"	["/r/a.md"]
"cmd 2>/r/log"	["/r/log"]
"cmd 2>&1"	[]
"cmd >&-"	[]
"cmd &>/r/log"	["/r/log"]
"cmd &>>/r/log"	["/r/log"]
"rm /r/a.md 2>&1"	["/r/a.md"]
"rm /r/a.md &> /r/log"	["/r/log","/r/a.md"]
"rm /r/a.md 2>&-"	["/r/a.md"]
"printf x > a.md"	["/r/a.md"]
"printf x > ./sub/../a.md"	["/r/a.md"]
"printf x > $PWD/a.md"	["/r/a.md"]
"printf x > ${PWD}/a.md"	["/r/a.md"]
"printf x > ${PWD}"	[]
"printf x > $OUT/a.md"	[]
"printf x > /r/*.md"	[]
"printf x > /r/a?.md"	[]
"rm $HOME/a.md"	[]
"rm -rf /r/a.md /r/b.md"	["/r/a.md","/r/b.md"]
"touch /r/a.md"	["/r/a.md"]
"tee /r/a.md"	["/r/a.md"]
"tee -a /r/a.md"	["/r/a.md"]
"truncate -s 0 /r/a.md"	["/r/a.md"]
"unlink /r/a.md"	["/r/a.md"]
"cat /r/a.md"	[]
"grep -r x /r"	[]
"ls /r"	[]
"mkdir -p /r/x"	[]
"cp /r/a.md /r/b.md"	["/r/b.md"]
"mv /r/a.md /r/b.md"	["/r/a.md","/r/b.md"]
"install /r/a.md /r/b.md"	["/r/b.md"]
"install -d /r/x /r/y"	["/r/x","/r/y"]
"cp -t /r/out /r/a.md /r/b.md"	["/r/out","/r/out/a.md","/r/out/b.md"]
"cp /r/a.md /r/b.md /r/out"	["/r/out","/r/out/a.md","/r/out/b.md"]
"cp --target-directory=/r/out /r/a.md"	["/r/out","/r/out/a.md"]
"mv -t /r/out /r/a.md"	["/r/a.md","/r/out","/r/out/a.md"]
"sed -i s/x/y/ /r/a.md"	["/r/a.md"]
"sed -i -e s/x/y/ /r/a.md"	["/r/a.md"]
"sed -i.bak s/x/y/ /r/a.md"	["/r/a.md"]
"sed --in-place s/x/y/ /r/a.md"	["/r/a.md"]
"sed s/x/y/ /r/a.md"	[]
"sed -i -f /r/prog.sed /r/a.md"	["/r/a.md"]
"perl -i -pe s/x/y/ /r/a.md"	["/r/a.md"]
"perl -pe s/x/y/ /r/a.md"	[]
"perl -i -p /r/prog.pl /r/a.md"	["/r/a.md"]
"find /r/x -delete"	["/r/x"]
"find -delete"	["/r"]
"find /r/x -name a.md"	[]
"find /r/x -fprint /r/out"	["/r/out"]
"find /r/x -fprintf /r/out %p"	["/r/out"]
"find -H /r/x -delete"	["/r/x"]
"find -P -O3 /r/x -delete"	["/r/x"]
"xargs rm"	["/r"]
"xargs cat"	[]
"xargs -0 rm"	["/r"]
"sudo --unknown-switch rm /r/a.md"	["/r"]
"env --unknown-switch rm /r/a.md"	["/r"]
"env -S"	[]
"env -S 'rm /r/a.md'"	["/r/a.md"]
"env FOO=1 rm /r/a.md"	["/r/a.md"]
"env -u PATH rm /r/a.md"	["/r/a.md"]
"timeout 5 rm /r/a.md"	["/r/a.md"]
"timeout --signal=TERM 5 rm /r/a.md"	["/r/a.md"]
"nohup rm /r/a.md"	["/r/a.md"]
"nice -n 5 rm /r/a.md"	["/r/a.md"]
"stdbuf -o0 rm /r/a.md"	["/r/a.md"]
"busybox rm /r/a.md"	["/r/a.md"]
"command rm /r/a.md"	["/r/a.md"]
"command -v rm"	[]
"builtin rm /r/a.md"	["/r/a.md"]
"exec rm /r/a.md"	["/r/a.md"]
"dd if=/r/a.md of=/r/b.md"	["/r/b.md"]
"dd of=/r/b.md if=/r/a.md"	["/r/b.md"]
"remove-item /r/a.md"	["/r/a.md"]
"set-content -Path:/r/a.md"	["/r/a.md"]
"copy-item /r/a.md /r/b.md"	["/r/b.md"]
"copy-item -Destination=/r/b.md /r/a.md"	["/r/a.md","/r/b.md"]
"rsync /r/a.md /r/b.md"	["/r/b.md"]
"rsync --remove-source-files /r/a.md /r/b.md"	["/r/b.md","/r/a.md"]
"echo hi && rm /r/a.md"	["/r/a.md"]
"rm /r/a.md; rm /r/a.md"	["/r/a.md"]
"rm /r/a.md | tee /r/b.md"	["/r/a.md","/r/b.md"]
"sudo rm /r/a.md"	["/r/a.md"]
"for f in a; do rm /r/$f; done"	[]
"rm -- -weird"	["/r/-weird"]
"rm /r/[a].md"	["/r/[a].md"]
"cat <<EOF > /r/a.md"	["/r/a.md"]
"FOO=1 rm /r/a.md"	["/r/a.md"]
"rm 'a b.md'"	["/r/a b.md"]
"rm \"a b.md\""	["/r/a b.md"]
"rm a\\ b.md"	["/r/a b.md"]
"/usr/bin/rm /r/a.md"	["/r/a.md"]
"rm /r/a.md 2>&1 | tee /r/b.md"	["/r/a.md","/r/b.md"]
": > /r/a.md"	["/r/a.md"]
"exec > /r/a.md"	["/r/a.md"]
"rm ,/r/a.md,"	["/r/a.md"]
"rm of=/r/a.md"	["/r/a.md"]
