id	project	match	up_exit	rs_exit	up_bytes	rs_bytes	up_sha256	rs_sha256	bundle(up/rs)	stage(up/rs)	blocks	keys	up_stderr	rs_stderr
01-explicit-path-beats-current-stage	ws	same	0	0	28005	28005	959e46158ba0dd83	959e46158ba0dd83	5059e0882b2d5ece/5059e0882b2d5ece	requirements-analysis/requirements-analysis	1/1	subagent_type|prompt/subagent_type|prompt	-	-
02-no-signal-binds-current-stage	ws	same	0	0	28039	28039	cb41431440cc120f	cb41431440cc120f	b503b83fe1f6fa4f/b503b83fe1f6fa4f	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
03-unique-slug-loses-to-current-stage	ws	same	0	0	28040	28040	694e656c08152dba	694e656c08152dba	b503b83fe1f6fa4f/b503b83fe1f6fa4f	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
04-explicit-path-unknown-slug-falls-back	ws	same	0	0	28062	28062	29f9f171c9d320f8	29f9f171c9d320f8	b503b83fe1f6fa4f/b503b83fe1f6fa4f	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
05-explicit-path-uppercase-slug-falls-back	ws	same	0	0	28061	28061	4223aeb1924a1b8d	4223aeb1924a1b8d	b503b83fe1f6fa4f/b503b83fe1f6fa4f	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
06-explicit-path-backslash-separators	ws	same	0	0	28037	28037	f8bae2d8b7b4b439	f8bae2d8b7b4b439	b503b83fe1f6fa4f/b503b83fe1f6fa4f	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
07-explicit-path-mdx-suffix-rejected	ws	same	0	0	28036	28036	b833fecc4898cdac	b833fecc4898cdac	b503b83fe1f6fa4f/b503b83fe1f6fa4f	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
08-tool-agent	ws	same	0	0	28002	28002	c9806b459c379a76	c9806b459c379a76	b503b83fe1f6fa4f/b503b83fe1f6fa4f	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
09-tool-spawn-agent	ws	same	0	0	28002	28002	c9806b459c379a76	c9806b459c379a76	b503b83fe1f6fa4f/b503b83fe1f6fa4f	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
10-tool-name-uppercase	ws	same	0	0	28002	28002	c9806b459c379a76	c9806b459c379a76	b503b83fe1f6fa4f/b503b83fe1f6fa4f	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
11-tool-not-a-dispatch-tool	ws	same	0	0	0	0	-	-	-/-	-/-	0/0	-/-	-	-
12-agent-not-aidlc	ws	same	0	0	0	0	-	-	-/-	-/-	0/0	-/-	-	-
13-agent-exempt-composer	ws	same	0	0	0	0	-	-	-/-	-/-	0/0	-/-	-	-
14-agent-file-absent	ws	same	0	0	0	0	-	-	-/-	-/-	0/0	-/-	-	-
15-agent-name-shape-rejected	ws	same	0	0	0	0	-	-	-/-	-/-	0/0	-/-	-	-
16-agent-field-agent-type	ws	same	0	0	27999	27999	03b8c4963f98ab23	03b8c4963f98ab23	b503b83fe1f6fa4f/b503b83fe1f6fa4f	code-generation/code-generation	1/1	agent_type|prompt/agent_type|prompt	-	-
