id	match	up_exit	rs_exit	up_bytes	rs_bytes	up_sha256	rs_sha256	stage	blocks	keys	up_stderr	rs_stderr
01-explicit-path-beats-current-stage	same	0	0	28005	28005	959e46158ba0dd83	959e46158ba0dd83	requirements-analysis/requirements-analysis	1/1	subagent_type|prompt/subagent_type|prompt	-	-
02-no-signal-binds-current-stage	same	0	0	28039	28039	cb41431440cc120f	cb41431440cc120f	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
03-unique-slug-loses-to-current-stage	same	0	0	28040	28040	694e656c08152dba	694e656c08152dba	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
04-explicit-path-unknown-slug-falls-back	same	0	0	28062	28062	29f9f171c9d320f8	29f9f171c9d320f8	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
05-explicit-path-uppercase-slug-falls-back	same	0	0	28061	28061	4223aeb1924a1b8d	4223aeb1924a1b8d	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
06-explicit-path-backslash-separators	same	0	0	28037	28037	f8bae2d8b7b4b439	f8bae2d8b7b4b439	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
07-explicit-path-mdx-suffix-rejected	same	0	0	28036	28036	b833fecc4898cdac	b833fecc4898cdac	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
08-tool-agent	same	0	0	28002	28002	c9806b459c379a76	c9806b459c379a76	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
09-tool-spawn-agent	same	0	0	28002	28002	c9806b459c379a76	c9806b459c379a76	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
10-tool-name-uppercase	same	0	0	28002	28002	c9806b459c379a76	c9806b459c379a76	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
11-tool-not-a-dispatch-tool	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
12-agent-not-aidlc	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
13-agent-exempt-composer	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
14-agent-file-absent	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
15-agent-name-shape-rejected	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
16-agent-field-agent-type	same	0	0	27999	27999	03b8c4963f98ab23	03b8c4963f98ab23	code-generation/code-generation	1/1	agent_type|prompt/agent_type|prompt	-	-
17-agent-field-agent	same	0	0	27994	27994	6d8c44a3b34f6207	6d8c44a3b34f6207	code-generation/code-generation	1/1	agent|prompt/agent|prompt	-	-
18-agent-field-role	same	0	0	27993	27993	5fbbb9de46264200	5fbbb9de46264200	code-generation/code-generation	1/1	role|prompt/role|prompt	-	-
19-agent-field-precedence-subagent-type-wins	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
20-prompt-field-message	same	0	0	28003	28003	4bacb12192885a68	4bacb12192885a68	code-generation/code-generation	1/1	subagent_type|message/subagent_type|message	-	-
21-prompt-field-description	same	0	0	28007	28007	395bd1a4fe0761bd	395bd1a4fe0761bd	code-generation/code-generation	1/1	subagent_type|description/subagent_type|description	-	-
22-prompt-field-task	same	0	0	28000	28000	d22ad61a66d0015a	d22ad61a66d0015a	code-generation/code-generation	1/1	subagent_type|task/subagent_type|task	-	-
23-prompt-field-priority-prompt-over-message	same	0	0	28085	28085	9ec37877d0c5aa15	9ec37877d0c5aa15	code-generation/code-generation	1/1	message|subagent_type|prompt/message|subagent_type|prompt	-	-
24-prompt-empty-string	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
25-prompt-non-string-falls-to-items	same	0	0	28096	28096	e4320b66a2d28c81	e4320b66a2d28c81	code-generation/code-generation	1/1	subagent_type|prompt|items/subagent_type|prompt|items	-	-
26-items-two-entries-joined	same	0	0	28119	28119	b390dca4408f451b	b390dca4408f451b	code-generation/code-generation	1/1	subagent_type|items/subagent_type|items	-	-
27-items-with-non-text-entry	same	0	0	28102	28102	ed5db460f06e79fc	ed5db460f06e79fc	code-generation/code-generation	1/1	subagent_type|items/subagent_type|items	-	-
28-no-prompt-fields-at-all	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
29-key-order-is-preserved	same	0	0	28032	28032	476c41ba066a49f4	476c41ba066a49f4	code-generation/code-generation	1/1	zeta|prompt|alpha|subagent_type|middle/zeta|prompt|alpha|subagent_type|middle	-	-
30-subagent-stages	same	0	0	28048	28048	1df5b2d02a58aebc	1df5b2d02a58aebc	code-generation/code-generation	1/1	stages/stages	-	-
31-subagent-two-stages-different-paths	same	0	0	56012	56012	08bdde29b3c4a7e0	08bdde29b3c4a7e0	code-generation/code-generation	2/2	stages/stages	-	-
32-subagent-stage-role-not-aidlc	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
33-subagent-stage-template-not-string	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
34-subagent-stage-not-an-object	same	0	0	28057	28057	59cc5ed7ddbe170b	59cc5ed7ddbe170b	code-generation/code-generation	1/1	stages/stages	-	-
35-subagent-stages-missing	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
36-tool-input-missing	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
37-tool-name-missing	same	0	0	0	0	-	-	-/-	0/0	-/-	-	-
38-slug-adjacent-word-char-is-not-a-mention	same	0	0	28016	28016	2c157c0e9dd44f76	2c157c0e9dd44f76	code-generation/code-generation	1/1	subagent_type|prompt/subagent_type|prompt	-	-
# same=38 differ=0 total=38
