id	exit	changed	blocks	stdout_sha256_16	stderr
1-first-call-appends	0	changed	1	51d5ea3e16ad4e36	-
2-exact-block-present-suffix	0	unchanged	0	-	-
3-exact-block-present-middle	0	unchanged	0	-	-
4-block-with-one-byte-changed	0	changed	2	2e28ffc8d414b207	-
5-block-truncated-by-one-char	0	changed	2	86984c95550b943e	-
6-two-copies-of-the-exact-block	0	unchanged	0	-	-

# appended block bytes: 27565
# block starts with two newlines: "\n\n<!"
# block ends with: "1934eb1827909747700e -->"   (末尾に改行は付かない)
#
# 観測: `hasExactBundle` は `prompt.includes(block)` の部分文字列一致である。
#   - ブロックが末尾にあっても途中にあっても抑止される（2 / 3）。
#   - 1 バイトでも違えば抑止されず、2 個目のブロックが付く（4 / 5）。
#   - 同じブロックが 2 つあっても抑止される（6）。
