case	body_len	exit	stdout_bytes	stderr
under-by-one	523685	0	524287	-
exactly-at-the-limit	523686	0	524288	-
over-by-one	523687	2	0	[aidlc] This stage's rule files add up to 524289 bytes, exceeding the safe 524288-byte output limit for attaching them to a subagent brief. The subagent was not started, and nothing partial was written. Shorten or split the rule files for the active stage, then start the subagent again.
fallback-exactly-at-the-limit	523686	0	524288	-
fallback-over-by-one	523687	3	0	[aidlc] Advisory: this stage's rule files add up to 524289 bytes, which exceeds the safe 524288-byte limit for attaching them to a subagent brief. Nothing partial was written. This harness loads the same rule files itself, through its own active-memory preload fallback, so the work continues without them attached.

# 境界は `outputBytes > 512 * 1024` である。ちょうど 524288 バイトは通る。
# 数えているのは stdout 全体（JSON + 末尾改行 1 バイト）であって、束だけではない。
# fallback 行は `AIDLC_DISPATCH_RULES_PRELOAD_FALLBACK=1` を付けた同じ入力である。
# 一時 fixture は probe が自分で作って消す（oversize-probe.ts）。
